9 00001 (testdata/amd64.s:9)	TEXT	foo(SB), 0, $0
12 00002 (testdata/amd64.s:12)	NEGQ	R11
13 00003 (testdata/amd64.s:13)	NEGQ	4(R11)
14 00004 (testdata/amd64.s:14)	NEGQ	foo+4(SB)
17 00005 (testdata/amd64.s:17)	INT	$4
18 00006 (testdata/amd64.s:18)	DIVB	R11
19 00007 (testdata/amd64.s:19)	DIVB	4(R11)
20 00008 (testdata/amd64.s:20)	DIVB	foo+4(SB)
23 00009 (testdata/amd64.s:23)	SUBQ	$4, DI
24 00010 (testdata/amd64.s:24)	SUBQ	R11, DI
25 00011 (testdata/amd64.s:25)	SUBQ	4(R11), DI
26 00012 (testdata/amd64.s:26)	SUBQ	foo+4(SB), DI
27 00013 (testdata/amd64.s:27)	SUBQ	$4, 8(R12)
28 00014 (testdata/amd64.s:28)	SUBQ	R11, 8(R12)
29 00015 (testdata/amd64.s:29)	SUBQ	R11, foo+4(SB)
32 00016 (testdata/amd64.s:32)	CMPB	CX, $4
36 00017 (testdata/amd64.s:36)	JCS	13(PC)
37 00018 (testdata/amd64.s:37)	JCS	17
40 00019 (testdata/amd64.s:40)	JMP	15(PC)
41 00020 (testdata/amd64.s:41)	JMP	17
42 00021 (testdata/amd64.s:42)	JMP	foo+4(SB)
43 00022 (testdata/amd64.s:43)	JMP	bar<>+4(SB)
44 00023 (testdata/amd64.s:44)	JMP	bar<>+4(SB)(R11*4)
45 00024 (testdata/amd64.s:45)	JMP	4(SP)
46 00025 (testdata/amd64.s:46)	JMP	(R12)
48 00026 (testdata/amd64.s:48)	JMP	(R12)(R13*4)
49 00027 (testdata/amd64.s:49)	JMP	(AX)
50 00028 (testdata/amd64.s:50)	JMP	(SP)
52 00029 (testdata/amd64.s:52)	JMP	(AX)(AX*4)
53 00030 (testdata/amd64.s:53)	JMP	4(SP)
54 00031 (testdata/amd64.s:54)	JMP	(R12)
56 00032 (testdata/amd64.s:56)	JMP	(R12)(R13*4)
57 00033 (testdata/amd64.s:57)	JMP	(AX)
58 00034 (testdata/amd64.s:58)	JMP	(SP)
60 00035 (testdata/amd64.s:60)	JMP	(AX)(AX*4)
61 00036 (testdata/amd64.s:61)	JMP	R13
64 00037 (testdata/amd64.s:64)	NOP
65 00038 (testdata/amd64.s:65)	NOP	AX
66 00039 (testdata/amd64.s:66)	NOP	foo+4(SB)
69 00040 (testdata/amd64.s:69)	SHLL	R11, R12
70 00041 (testdata/amd64.s:70)	SHLL	R11, foo+4(SB)
71 00042 (testdata/amd64.s:71)	SHLL	R11, AX, R11
74 00043 (testdata/amd64.s:74)	MOVL	AX, R11
75 00044 (testdata/amd64.s:75)	MOVL	$4, R11
76 00045 (testdata/amd64.s:76)	MOVL	AX, CS, AX
79 00046 (testdata/amd64.s:79)	IMULB	$4
80 00047 (testdata/amd64.s:80)	IMULB	R11
81 00048 (testdata/amd64.s:81)	IMULB	$4, R11
82 00049 (testdata/amd64.s:82)	IMULB	R11, R12
83 00050 (testdata/amd64.s:83)	IMULB	R11, foo+4(SB)
86 00051 (testdata/amd64.s:86)	CMPPD	R11, R12, 4
87 00052 (testdata/amd64.s:87)	CMPPD	R11, foo+4(SB), 4
90 00053 (testdata/amd64.s:90)	PINSRW	$4, R11, AX
91 00054 (testdata/amd64.s:91)	PINSRW	$4, foo+4(SB), AX
94 00055 (testdata/amd64.s:94)	RETFL	$4
98 00056 (testdata/amd64.s:98)	LOOP
101 00057 (testdata/amd64.s:101)	RET
