0a011f1a|	adc w10, w8, wzr
4c00009a|	adc x12, x2, x0
a602093a|	adcs w6, w21, w9
d60217ba|	adcs x22, x22, x23
0921250b|	add w9, w8, w5, uxth
ee9e288b|	add x14, x23, w8, sxtb #7
23123011|	add w3, w17, #0xc04
2ba32391|	add x11, x25, #0x8e8
67158d0b|	add w7, w11, w13, asr #5
30da198b|	add x16, x17, x25, lsl #54
a7e72c2b|	adds w7, w29, w12, sxtx #1
357338ab|	adds x21, x25, x24, uxtx #4
6b147731|	adds w11, w3, #0xdc5, lsl #12
cd59872b|	adds w13, w14, w7, asr #22
e41f4eab|	adds x4, xzr, x14, lsr #7
b7dd8470|	adr x23, .+0xfffffffffff09bb7
0f4996d0|	adrp x15, .+0xffffffff2c922000
a2432412|	and w2, w29, #0xf0001fff
93910e92|	and x19, x12, #0x7c007c007c007c
7a1ec98a|	and x26, x19, x9, ror #7
1ff32972|	tst w24, #0xaaaaaaaa
458051f2|	ands x5, x2, #0xffff80000000ffff
af629a6a|	ands w15, w21, w26, asr #24
7ab0dfea|	ands x26, x3, xzr, ror #44
792bcc1a|	asr w25, w27, w12
872bce9a|	asr x7, x28, x14
99ff4b93|	asr x25, x28, #11
1628c91a|	asr w22, w0, w9
4e2acf9a|	asr x14, x18, x15
4be5a454|	b.lt .+0xfffffffffff49ca8
53257114|	b .+0x1c4954c
dbb557b3|	bfxil x27, x14, #23, #23
70e861b3|	bfxil x16, x3, #33, #26
88a75ab3|	bfxil x8, x28, #26, #16
b03ce70a|	bic w16, w5, w7, ror #15
9235ec8a|	bic x18, x12, x12, ror #13
7450b96a|	bics w20, w3, w25, asr #20
3730b3ea|	bics x23, x1, x19, asr #12
9b897797|	bl .+0xfffffffffdde266c
e0013fd6|	blr x15
a0031fd6|	br x29
e08c31d4|	brk #0x8c67
027eb435|	cbnz w2, .+0xfffffffffff68fc0
c7eb42b5|	cbnz x7, .+0x85d78
8f1d4c34|	cbz w15, .+0x983b0
e1c5abb4|	cbz x1, .+0xfffffffffff578bc
4bfb543a|	ccmn w26, #0x14, #0xb, al
015b46ba|	ccmn x24, #0x6, #0x1, pl
8602463a|	ccmn w20, w6, #0x6, eq
c6d34cba|	ccmn x30, x12, #0x6, le
a76b4f7a|	ccmp w29, #0xf, #0x7, vs
e3d853fa|	ccmp x7, #0x13, #0x3, le
4022467a|	ccmp w18, w6, #0x0, cs
c7b346fa|	ccmp x30, x6, #0x7, lt
ee279b1a|	csinc w14, wzr, w27, cs
4174819a|	csinc x1, x2, x1, vc
5100955a|	csinv w17, w2, w21, eq
573093da|	csinv x23, x2, x19, cc
5f3403d5|	clrex #0x4
e615c05a|	cls w6, w15
ff15c0da|	cls xzr, x15
2e10c05a|	clz w14, w1
a912c0da|	clz x9, x21
ff11352b|	cmn w15, w21, uxtb #4
1f5220ab|	cmn x16, w0, uxtw #4
ff02266b|	cmp w23, w6, uxtb
5fb739eb|	cmp x26, w25, sxth #5
bfa73bf1|	cmp x29, #0xee9
7f5c47eb|	cmp x3, x7, lsr #23
2e458e5a|	csneg w14, w9, w14, mi
c3559cda|	csneg x3, x14, x28, pl
1041d11a|	crc32b w16, w8, w17
bb46c31a|	crc32h w27, w21, w3
c94bd61a|	crc32w w9, w30, w22
8f4cd49a|	crc32x w15, w4, x20
7653d21a|	crc32cb w22, w27, w18
1454d51a|	crc32ch w20, w0, w21
7c58c91a|	crc32cw w28, w3, w9
185ccb9a|	crc32cx w24, w0, x11
8c30941a|	csel w12, w4, w20, cc
0ea08c9a|	csel x14, x0, x12, ge
e3b79f1a|	cset w3, ge
fea79f9a|	cset x30, lt
e5639f5a|	csetm w5, vc
e4739fda|	csetm x4, vs
bad4981a|	csinc w26, w5, w24, le
5167909a|	csinc x17, x26, x16, vs
65e3955a|	csinv w5, w27, w21, al
8e338bda|	csinv x14, x28, x11, cc
0a269d5a|	csneg w10, w16, w29, cs
ab1692da|	csneg x11, x21, x18, ne
418ea5d4|	dcps1 #0x2c72
6239a5d4|	dcps2 #0x29cb
e3ebabd4|	dcps3 #0x5f5f
bf3a03d5|	dmb ishst
e003bfd6|	drps
9f3003d5|	dsb #0x00
c974354a|	eon w9, w6, w21, lsl #29
89b86eca|	eon x9, x4, x14, lsr #46
76e343d2|	eor x22, x27, #0xe03fffffffffffff
536d8c4a|	eor w19, w10, w12, asr #27
d1ef1cca|	eor x17, x30, x28, lsl #59
e0039fd6|	eret
591d8813|	extr w25, w10, w8, #7
888dd693|	extr x8, x12, x22, #35
bf2003d5|	sevl
df2003d5|	hint #0x6
a0fc5fd4|	hlt #0xffe5
df3103d5|	isb #0x1
9dfddf88|	ldar w29, [x12]
76ffdfc8|	ldar x22, [x27]
36ffdf08|	ldarb w22, [x25]
bcfcdf48|	ldarh w28, [x5]
54c17f88|	ldaxp w20, w16, [x10]
3eaf7fc8|	ldaxp x30, x11, [x25]
e2fd5f88|	ldaxr w2, [x15]
f5fd5fc8|	ldaxr x21, [x15]
70fe5f08|	ldaxrb w16, [x19]
bcfc5f48|	ldaxrh w28, [x5]
ecff5928|	ldnp w12, wzr, [sp,#204]
852744a8|	ldnp x5, x9, [x28,#64]
1286d728|	ldp w18, w1, [x16],#188
7668e8a8|	ldp x22, x26, [x3],#-384
6d8bc729|	ldp w13, w2, [x27,#60]!
1cadd1a9|	ldp x28, x11, [x8,#280]!
bf4e7e29|	ldp wzr, w19, [x21,#-16]
61695fa9|	ldp x1, x26, [x11,#496]
4c00e668|	ldpsw x12, x0, [x2],#-208
85a0cb69|	ldpsw x5, x8, [x4,#92]!
9b894d69|	ldpsw x27, x2, [x12,#108]
e9955ab8|	ldr w9, [x15],#-87
5c255df8|	ldr x28, [x10],#-46
703c57b8|	ldr w16, [x3,#-141]!
1dac57f8|	ldr x29, [x0,#-134]!
393c50b9|	ldr w25, [x1,#4156]
498d5cf9|	ldr x9, [x10,#14616]
841fe218|	ldr w4, .+0xfffffffffffc43f0
cce88858|	ldr x12, .+0xfffffffffff11d18
72fa72b8|	ldr w18, [x19,x18,sxtx #2]
daeb66f8|	ldr x26, [x30,x6,sxtx]
8ca74238|	ldrb w12, [x28],#42
4e5c5e38|	ldrb w14, [x2,#-27]!
03936d39|	ldrb w3, [x24,#2916]
577a6e38|	ldrb w23, [x18,x14,lsl #0]
adb54678|	ldrh w13, [x13],#107
820f4c78|	ldrh w2, [x28,#192]!
92787579|	ldrh w18, [x4,#6844]
4bd6c438|	ldrsb w11, [x18],#77
fb478238|	ldrsb x27, [sp],#36
4d7edc38|	ldrsb w13, [x18,#-57]!
18ee9438|	ldrsb x24, [x16,#-178]!
16b9c639|	ldrsb w22, [x8,#430]
37958f39|	ldrsb x23, [x9,#997]
af7ae238|	ldrsb w15, [x21,x2,lsl #0]
1568fa38|	ldrsb w21, [x0,x26]
744bbf38|	ldrsb x20, [x27,wzr,uxtw]
f069a538|	ldrsb x16, [x15,x5]
d9a6cd78|	ldrsh w25, [x22],#218
ff368b78|	ldrsh xzr, [x23],#179
5b8cc878|	ldrsh w27, [x2,#136]!
361f9c78|	ldrsh x22, [x25,#-63]!
359bec79|	ldrsh w21, [x25,#5708]
4d6c8079|	ldrsh x13, [x2,#54]
9deae578|	ldrsh w29, [x20,x5,sxtx]
f2fab878|	ldrsh x18, [x23,x24,sxtx #1]
02669cb8|	ldrsw x2, [x16],#-58
5c8e92b8|	ldrsw x28, [x18,#-216]!
ea9e92b9|	ldrsw x10, [x23,#4764]
6e280c98|	ldrsw x14, .+0x1850c
49dabcb8|	ldrsw x9, [x18,w28,sxtw #2]
64285eb8|	ldtr w4, [x3,#-30]
6ab851f8|	ldtr x10, [x3,#-229]
aa094f38|	ldtrb w10, [x13,#240]
b7894e78|	ldtrh w23, [x13,#232]
85cadd38|	ldtrsb w5, [x20,#-36]
2db99838|	ldtrsb x13, [x9,#-117]
7ef8ce78|	ldtrsh w30, [x3,#239]
786a8978|	ldtrsh x24, [x19,#150]
c5eb81b8|	ldtrsw x5, [x30,#30]
a1f14bb8|	ldur w1, [x13,#191]
c3425cf8|	ldur x3, [x22,#-60]
2e125038|	ldurb w14, [x17,#-255]
26004878|	ldurh w6, [x1,#128]
c3e3cd38|	ldursb w3, [x30,#222]
27618938|	ldursb x7, [x9,#150]
7c71db78|	ldursh w28, [x11,#-73]
1d109e78|	ldursh x29, [x0,#-31]
d48084b8|	ldursw x20, [x6,#72]
172f7f88|	ldxp w23, w11, [x24]
10347fc8|	ldxp x16, x13, [x0]
fe7f5f88|	ldxr w30, [sp]
6c7f5fc8|	ldxr x12, [x27]
047c5f08|	ldxrb w4, [x0]
9a7d5f48|	ldxrh w26, [x12]
4f21cb1a|	lsl w15, w10, w11
1523db9a|	lsl x21, x24, x27
81c74fd3|	ubfx x1, x28, #15, #35
c922c81a|	lsl w9, w22, w8
fd22dc9a|	lsl x29, x23, x28
4226dd1a|	lsr w2, w18, w29
a224ca9a|	lsr x2, x5, x10
707c0153|	lsr w16, w3, #1
34fc4cd3|	lsr x20, x1, #12
6c24c91a|	lsr w12, w3, w9
8527c89a|	lsr x5, x28, x8
ea36171b|	madd w10, w23, w23, w13
e47a0a9b|	madd x4, x23, x10, x30
35fd001b|	mneg w21, w9, w0
77ff0e9b|	mneg x23, x27, x14
38030011|	add w24, w25, #0x0
37030091|	add x23, x25, #0x0
94b8ad12|	mov w20, #0x923bffff
fff29892|	mov xzr, #0xffffffffffff3868
d4adb252|	mov w20, #0x956e0000
8747e2d2|	mov x7, #0x123c000000000000
f5132d32|	orr w21, wzr, #0xf80000
eb7f34b2|	mov x11, #0xffffffffffffffff
f503092a|	mov w21, w9
e7031eaa|	mov x7, x30
35e8c1f2|	movk x21, #0xf41, lsl #32
44629512|	mov w4, #0xffff54ed
cc0dd392|	mov x12, #0xffff6791ffffffff
cbfb9152|	mov w11, #0x8fde
3d25ebd2|	mov x29, #0x5929000000000000
e67a3fd5|	mrs x6, s3_7_c7_c10_7
f9dd15d5|	msr s2_5_c13_c13_7, x25
25840c1b|	msub w5, w1, w12, w1
02ce1a9b|	msub x2, x16, x26, x19
b67c1a1b|	mul w22, w5, w26
607c049b|	mul x0, x3, x4
e97f6daa|	mvn x9, x13, lsr #31
fe071f6b|	negs w30, wzr, lsl #1
f68f14eb|	negs x22, x20, lsl #35
e8030d5a|	ngc w8, w13
fe031eda|	ngc x30, x30
e5030a7a|	ngcs w5, w10
f00318fa|	ngcs x16, x24
1f2003d5|	nop
032ee42a|	orn w3, w16, w4, ror #11
634cf6aa|	orn x3, x3, x22, ror #19
f8492d32|	orr w24, w15, #0xfff8003f
96f542b2|	orr x22, x12, #0xcfffffffffffffff
1c110d2a|	orr w28, w8, w13, lsl #4
c65b1eaa|	orr x6, x30, x30, lsl #22
f300b2f9|	prfm pstl2strm, [x7,#25600]
2aa196d8|	prfm plil2keep, .+0xfffffffffff2d424
2ad8bef8|	prfm plil2keep, [x1,w30,sxtw #3]
c62184f8|	prfum #0x06, [x14,#66]
3601c05a|	rbit w22, w9
6401c0da|	rbit x4, x11
e0035fd6|	ret xzr
0a09c05a|	rev w10, w8
220cc0da|	rev x2, x1
b206c05a|	rev16 w18, w21
2407c0da|	rev16 x4, x25
7e0bc0da|	rev32 x30, x27
ae0ec0da|	rev x14, x21
336f8413|	extr w19, w25, w4, #27
af47ca93|	extr x15, x29, x10, #17
bc2cdb1a|	ror w28, w5, w27
e52fdd9a|	ror x5, xzr, x29
832dc31a|	ror w3, w12, w3
e22ec09a|	ror x2, x23, x0
