0a011f1a|	ADCW ZR, R8, R10
4c00009a|	ADC R0, R2, R12
a602093a|	ADCSW R9, R21, R6
d60217ba|	ADCS R23, R22, R22
0921250b|	ADDW R5.UXTH, R8, R9
ee9e288b|	ADD R8.SXTB<<7, R23, R14
23123011|	ADDW $3076, R17, R3
2ba32391|	ADD $2280, R25, R11
67158d0b|	ADDW R13->5, R11, R7
30da198b|	ADD R25<<54, R17, R16
a7e72c2b|	ADDSW R12.SXTX<<1, R29, R7
357338ab|	ADDS R24.UXTX<<4, R25, R21
6b147731|	ADDSW $(3525<<12), R3, R11
cd59872b|	ADDSW R7->22, R14, R13
e41f4eab|	ADDS R14>>7, ZR, R4
a2432412|	ANDW $4026540031, R29, R2
93910e92|	AND $34903429696192636, R12, R19
7a1ec98a|	AND R9@>7, R19, R26
1ff32972|	TSTW $2863311530, R24
458051f2|	ANDS $-140737488289793, R2, R5
af629a6a|	ANDSW R26->24, R21, R15
7ab0dfea|	ANDS ZR@>44, R3, R26
792bcc1a|	ASRW R12, R27, R25
872bce9a|	ASR R14, R28, R7
99ff4b93|	ASR $11, R28, R25
1628c91a|	ASRW R9, R0, R22
4e2acf9a|	ASR R15, R18, R14
4be5a454|	BLT -186582(PC)
53257114|	JMP 7415123(PC)
dbb557b3|	BFXIL $23, R14, $23, R27
70e861b3|	BFXIL $33, R3, $26, R16
88a75ab3|	BFXIL $26, R28, $16, R8
b03ce70a|	BICW R7@>15, R5, R16
9235ec8a|	BIC R12@>13, R12, R18
7450b96a|	BICSW R25->20, R3, R20
3730b3ea|	BICS R19->12, R1, R23
9b897797|	CALL -8943205(PC)
e0013fd6|	CALL (R15)
a0031fd6|	JMP (R29)
e08c31d4|	BRK $35943
027eb435|	CBNZW R2, -154640(PC)
c7eb42b5|	CBNZ R7, 137054(PC)
8f1d4c34|	CBZW R15, 155884(PC)
e1c5abb4|	CBZ R1, -172497(PC)
4bfb543a|	CCMNW AL, R26, $20, $11
015b46ba|	CCMN PL, R24, $6, $1
8602463a|	CCMNW EQ, R20, R6, $6
