goos: darwin
goarch: amd64
pkg: std/net/url
BenchmarkString-8          	  500000	      2634 ns/op	    1512 B/op	      58 allocs/op
BenchmarkString-8          	  500000	      2842 ns/op	    1512 B/op	      58 allocs/op
BenchmarkString-8          	  500000	      2814 ns/op	    1512 B/op	      58 allocs/op
BenchmarkString-8          	  500000	      2656 ns/op	    1512 B/op	      58 allocs/op
BenchmarkString-8          	  500000	      2811 ns/op	    1512 B/op	      58 allocs/op
BenchmarkString-8          	  500000	      3007 ns/op	    1512 B/op	      58 allocs/op
BenchmarkString-8          	  500000	      2938 ns/op	    1512 B/op	      58 allocs/op
BenchmarkString-8          	  500000	      2723 ns/op	    1512 B/op	      58 allocs/op
BenchmarkString-8          	  500000	      2565 ns/op	    1512 B/op	      58 allocs/op
BenchmarkString-8          	  500000	      2559 ns/op	    1512 B/op	      58 allocs/op
BenchmarkString-8          	  500000	      2583 ns/op	    1512 B/op	      58 allocs/op
BenchmarkString-8          	  500000	      2574 ns/op	    1512 B/op	      58 allocs/op
BenchmarkString-8          	  500000	      2651 ns/op	    1512 B/op	      58 allocs/op
BenchmarkString-8          	  500000	      2591 ns/op	    1512 B/op	      58 allocs/op
BenchmarkString-8          	  500000	      2564 ns/op	    1512 B/op	      58 allocs/op
BenchmarkString-8          	  500000	      2548 ns/op	    1512 B/op	      58 allocs/op
BenchmarkString-8          	  500000	      2560 ns/op	    1512 B/op	      58 allocs/op
BenchmarkString-8          	  500000	      2550 ns/op	    1512 B/op	      58 allocs/op
BenchmarkString-8          	  500000	      2536 ns/op	    1512 B/op	      58 allocs/op
BenchmarkString-8          	  500000	      2577 ns/op	    1512 B/op	      58 allocs/op
BenchmarkQueryEscape/#00-8 	50000000	        32.3 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryEscape/#00-8 	50000000	        35.0 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryEscape/#00-8 	50000000	        33.0 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryEscape/#00-8 	50000000	        32.4 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryEscape/#00-8 	50000000	        32.5 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryEscape/#00-8 	50000000	        33.9 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryEscape/#00-8 	50000000	        33.4 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryEscape/#00-8 	50000000	        34.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryEscape/#00-8 	50000000	        32.8 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryEscape/#00-8 	50000000	        32.7 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryEscape/#00-8 	50000000	        31.8 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryEscape/#00-8 	50000000	        32.2 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryEscape/#00-8 	50000000	        32.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryEscape/#00-8 	50000000	        32.9 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryEscape/#00-8 	50000000	        32.8 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryEscape/#00-8 	50000000	        33.9 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryEscape/#00-8 	50000000	        33.5 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryEscape/#00-8 	50000000	        32.4 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryEscape/#00-8 	50000000	        34.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryEscape/#00-8 	50000000	        32.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkQueryEscape/#01-8 	20000000	       100 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#01-8 	20000000	        98.0 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#01-8 	20000000	        99.9 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#01-8 	20000000	       100 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#01-8 	20000000	        98.9 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#01-8 	20000000	       103 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#01-8 	20000000	       103 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#01-8 	20000000	       103 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#01-8 	20000000	       102 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#01-8 	20000000	       100 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#01-8 	20000000	       102 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#01-8 	20000000	       102 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#01-8 	20000000	        97.2 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#01-8 	20000000	       105 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#01-8 	20000000	       103 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#01-8 	20000000	       106 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#01-8 	20000000	       106 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#01-8 	20000000	       105 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#01-8 	20000000	       102 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#01-8 	20000000	       103 ns/op	      64 B/op	       1 allocs/op
BenchmarkQueryEscape/#02-8 	20000000	        87.3 ns/op	      32 B/op	       1 allocs/op
