goos: darwin
goarch: arm64
pkg: slices
BenchmarkCloneRealLife
BenchmarkCloneRealLife-8   	30100270	        42.92 ns/op	      21 B/op	       2 allocs/op
BenchmarkCloneRealLife-8   	27644036	        45.81 ns/op	      21 B/op	       2 allocs/op
BenchmarkCloneRealLife-8   	30290408	        42.11 ns/op	      21 B/op	       2 allocs/op
BenchmarkCloneRealLife-8   	28783620	        42.83 ns/op	      21 B/op	       2 allocs/op
BenchmarkCloneRealLife-8   	27381370	        46.69 ns/op	      21 B/op	       2 allocs/op
BenchmarkCloneRealLife-8   	27005130	        47.62 ns/op	      21 B/op	       2 allocs/op
BenchmarkCloneRealLife-8   	27706560	        45.19 ns/op	      21 B/op	       2 allocs/op
BenchmarkCloneRealLife-8   	31411966	        39.66 ns/op	      21 B/op	       2 allocs/op
BenchmarkCloneRealLife-8   	28659282	        38.77 ns/op	      21 B/op	       2 allocs/op
BenchmarkCloneRealLife-8   	31450524	        39.19 ns/op	      21 B/op	       2 allocs/op
BenchmarkCloneRealLife-8   	31241593	        41.91 ns/op	      21 B/op	       2 allocs/op
BenchmarkCloneRealLife-8   	27559676	        50.99 ns/op	      21 B/op	       2 allocs/op
BenchmarkCloneRealLife-8   	24343465	        43.00 ns/op	      21 B/op	       2 allocs/op
BenchmarkCloneRealLife-8   	31221170	        38.95 ns/op	      21 B/op	       2 allocs/op
BenchmarkCloneRealLife-8   	32282109	        38.67 ns/op	      21 B/op	       2 allocs/op
BenchmarkCloneRealLife-8   	31095534	        36.93 ns/op	      21 B/op	       2 allocs/op
BenchmarkCloneRealLife-8   	31969414	        36.88 ns/op	      21 B/op	       2 allocs/op
BenchmarkCloneRealLife-8   	31534791	        37.07 ns/op	      21 B/op	       2 allocs/op
BenchmarkCloneRealLife-8   	30503691	        36.86 ns/op	      21 B/op	       2 allocs/op
BenchmarkCloneRealLife-8   	31714813	        36.91 ns/op	      21 B/op	       2 allocs/op
PASS
ok  	slices	26.782s
