goos: darwin
goarch: arm64
pkg: slices
BenchmarkCloneRealLife
BenchmarkCloneRealLife-8   	63026037	        21.23 ns/op	       8 B/op	       1 allocs/op
BenchmarkCloneRealLife-8   	54106656	        21.39 ns/op	       8 B/op	       1 allocs/op
BenchmarkCloneRealLife-8   	52951299	        21.94 ns/op	       8 B/op	       1 allocs/op
BenchmarkCloneRealLife-8   	53387115	        21.17 ns/op	       8 B/op	       1 allocs/op
BenchmarkCloneRealLife-8   	59430826	        21.82 ns/op	       8 B/op	       1 allocs/op
BenchmarkCloneRealLife-8   	58370961	        20.34 ns/op	       8 B/op	       1 allocs/op
BenchmarkCloneRealLife-8   	59728113	        20.30 ns/op	       8 B/op	       1 allocs/op
BenchmarkCloneRealLife-8   	57199148	        20.21 ns/op	       8 B/op	       1 allocs/op
BenchmarkCloneRealLife-8   	59520363	        20.92 ns/op	       8 B/op	       1 allocs/op
BenchmarkCloneRealLife-8   	59475744	        20.59 ns/op	       8 B/op	       1 allocs/op
BenchmarkCloneRealLife-8   	56925657	        20.51 ns/op	       8 B/op	       1 allocs/op
BenchmarkCloneRealLife-8   	53570034	        20.94 ns/op	       8 B/op	       1 allocs/op
BenchmarkCloneRealLife-8   	59315278	        22.91 ns/op	       8 B/op	       1 allocs/op
BenchmarkCloneRealLife-8   	53707795	        23.40 ns/op	       8 B/op	       1 allocs/op
BenchmarkCloneRealLife-8   	47881492	        22.12 ns/op	       8 B/op	       1 allocs/op
BenchmarkCloneRealLife-8   	53678965	        21.17 ns/op	       8 B/op	       1 allocs/op
BenchmarkCloneRealLife-8   	57925658	        20.78 ns/op	       8 B/op	       1 allocs/op
BenchmarkCloneRealLife-8   	58785105	        20.50 ns/op	       8 B/op	       1 allocs/op
BenchmarkCloneRealLife-8   	58074585	        23.17 ns/op	       8 B/op	       1 allocs/op
BenchmarkCloneRealLife-8   	47421770	        21.66 ns/op	       8 B/op	       1 allocs/op
PASS
ok  	slices	24.632s
